Rank,Guild Name,Realm,Raids Week,Link
596,Sideraid,EU (DE)-Blackmoore,1,https://www.wowprogress.com/guild/eu/blackmoore/Sideraid
643,Synarchy,EU-Silvermoon,1,https://www.wowprogress.com/guild/eu/silvermoon/Synarchy
749,Synastesia,EU (DE)-Blackrock,1,https://www.wowprogress.com/guild/eu/blackrock/Synastesia
992,Flammen des Himmels,EU (DE)-Antonidas,1,https://www.wowprogress.com/guild/eu/antonidas/Flammen+des+Himmels
1096,Circle of Trust,EU (DE)-Antonidas,1,https://www.wowprogress.com/guild/eu/antonidas/Circle+of+Trust
1167,Psychic,EU-Kazzak,1,https://www.wowprogress.com/guild/eu/kazzak/Psychic
1181,One Day,EU (DE)-Thrall,1,https://www.wowprogress.com/guild/eu/thrall/One+Day
1302,Absolution,EU-Argent Dawn,1,https://www.wowprogress.com/guild/eu/argent-dawn/Absolution
1480,Bonehard,EU-Draenor,1,https://www.wowprogress.com/guild/eu/draenor/Bonehard
1587,One Night Stand,EU-Ravencrest,1,https://www.wowprogress.com/guild/eu/ravencrest/One+Night+Stand
1649,Radiant,EU-Kazzak,1,https://www.wowprogress.com/guild/eu/kazzak/Radiant
1668,Tiger Rebels,EU (DE)-Antonidas,1,https://www.wowprogress.com/guild/eu/antonidas/Tiger+Rebels
1830,Insuperabilis,EU (DE)-Eredar,1,https://www.wowprogress.com/guild/eu/eredar/Insuperabilis
1831,twenty monkeys,EU (DE)-Antonidas,1,https://www.wowprogress.com/guild/eu/antonidas/twenty+monkeys
1834,Okay,EU (DE)-Eredar,1,https://www.wowprogress.com/guild/eu/eredar/Okay
